first_defect,combined_with_defect,max_Et,min_Et,max_k,min_k,min_residual_value_used_in_plot,min_residual_value_used_in_plot_Et,min_residual_value_used_in_plot_k
Au,,0.88756281407,0.514447236181,1.46497139831,0.001,0.0404055601026,0.576633165829,0.017225859654
CuI,,0.938442211055,0.876256281407,0.112266777351,0.0243744415012,1.07474659796,0.904522613065,0.0560716993821
CuII,,0.621859296482,0.407035175879,21.9638537242,10.9698579789,0.971794073251,0.610552763819,14.4811822767
DefectX,,0.893216080402,0.503140703518,2.93316627839,0.001,0.189138604409,0.565326633166,0.840665288562
Mo,,0.282663316583,0.27135678392,50.5263106534,20.4907468982,0.821837507147,0.282663316583,25.2353917043
PtI,,0.81972361809,0.316582914573,6.74754405311,0.001,1.24507287983,0.791457286432,1.57029012473
PtII,,0.893216080402,0.220477386935,27.0495973046,0.901101825167,0.838484374913,0.876256281407,1.18953406737
Ti,,0.85364321608,0.831030150754,329.29712551,15.5222535743,0.777470251588,0.842336683417,20.4907468982
Zn,,0.808417085427,0.327889447236,5.11143348344,0.001,0.820907569978,0.780150753769,1.57029012473
